           2  -4.5907911624294478E-003 -0.14981854168089878      -0.25349231731789040      -0.15854651489600813        1.6539955231290118E-003  -3.2342128574513568E-005
           3  -1.0389768522009284E-002 -0.16921803705439409       0.12869234561158185      -0.25227899595110548        2.1203327919861316E-003  -5.7867748620917339E-005
           4  -1.5131546934430072E-002 -0.17526895639827650       0.31475420458416875      -0.22392580455400918        1.0460907964638306E-003  -7.6867086461885145E-005
           5  -1.8605189827712264E-002 -0.17791906431092011       0.40987039827907923      -0.17069076271271511       -1.8491898692389187E-003  -8.9506404422783775E-005
           6  -2.1008347991664879E-002 -0.17931384334282605       0.47201735856972105      -0.12805337615233736       -6.6192039375473572E-003  -9.5846565077109660E-005
           7  -2.2506674771232860E-002 -0.18013817364772247       0.52738660390078373       -9.7106795293487910E-002  -1.2940102329089397E-002  -9.5922102064907328E-005
           8  -2.3078015306324522E-002 -0.18066597089744227       0.59577913093631751       -7.3581145334190939E-002  -2.0062963647871860E-002  -8.9767658838267941E-005
           9  -2.2402387254501225E-002 -0.18102433520240263       0.70390928810590236       -5.3766845379445052E-002  -2.6959067114047983E-002  -7.7415128347794418E-005
          10  -1.9815872779431209E-002 -0.18127883723837773       0.85132027127378695       -3.4802145922238376E-002  -3.2627449227781387E-002  -5.8862302957653139E-005
          11  -1.7336087178836203E-002 -0.18146611181892008       0.36476252475483617       -1.4246801705017655E-002  -3.6398297264190735E-002  -3.4024619274525863E-005
          12  -2.0447030789987893E-002 -0.18160794202641722      -0.37055615342300269        9.8961385059103089E-003  -3.8064660869863973E-002  -3.1591279995930086E-006
